DATE,Forecasted Sales
2025-03-17,1760.9237719241728
2025-03-18,1809.8610491065942
2025-03-19,1671.1432578378353
2025-03-20,1641.3580615428891
2025-03-21,1611.7458612538605
2025-03-22,1723.49457433399
2025-03-23,1282.9830657634845
2025-03-24,1742.4760898485144
2025-03-25,1817.2416172972692
2025-03-26,1677.7320094187887
2025-03-27,1647.7589186568334
2025-03-28,1617.7209425739325
2025-03-29,1730.4955769467233
2025-03-30,1288.2462970300437
2025-03-31,1749.2122249512681
2025-04-01,1824.6199401190067
2025-04-02,1684.318515630805
2025-04-03,1654.15753040184
2025-04-04,1623.6937785250664
2025-04-05,1737.494334190519
2025-04-06,1293.5072829276655
2025-04-07,1755.9461146850842
2025-04-08,1831.9960175718068
2025-04-09,1690.9027764738833
2025-04-10,1660.5538967779084
2025-04-11,1629.6643691072627
2025-04-12,1744.4908460653774
2025-04-13,1298.7660234563498
2025-04-14,1762.6777590499628
2025-04-15,1839.3698496556697
