DATE,TOTAL AMOUNT
2021-12-09,272.26
2021-12-10,566.1
2021-12-11,271.2
2021-12-12,314.5
2021-12-13,597.0
2021-12-14,22.5
2021-12-15,561.1
2021-12-16,440.7
2021-12-17,619.3
2021-12-18,525.2
2021-12-19,570.5
2021-12-20,517.1
2021-12-21,1083.5
2021-12-22,762.4
2021-12-23,606.6
2021-12-24,1006.4
2021-12-25,583.5
2021-12-26,339.8
2021-12-27,828.4
2021-12-28,846.3
2021-12-29,714.04
2021-12-30,536.6
2021-12-31,689.9
2022-01-01,633.6
2022-01-02,200.2
2022-01-03,548.1
2022-01-04,812.6
2022-01-05,668.4
2022-01-06,1207.6
2022-01-07,468.0
2022-01-08,107.5
2022-01-09,174.3
2022-01-10,509.5
2022-01-11,435.7
2022-01-12,181.8
2022-01-13,159.4
2022-01-14,403.1
2022-01-15,349.1
2022-01-16,340.0
2022-01-17,218.9
2022-01-18,335.6
2022-01-19,314.7
2022-01-20,621.66
2022-01-21,468.8
2022-01-22,331.9
2022-01-23,146.2
2022-01-24,175.5
2022-01-25,278.0
2022-01-26,251.9
2022-01-27,288.6
2022-01-28,455.4
2022-01-29,571.2
2022-01-30,324.5
2022-01-31,266.9
2022-02-01,475.8
2022-02-02,202.6
2022-02-03,205.1
2022-02-04,456.7
2022-02-05,110.0
2022-02-06,216.5
2022-02-07,389.6
2022-02-08,291.5
2022-02-09,213.3
2022-02-10,587.8
2022-02-11,335.0
2022-02-12,513.4
2022-02-13,224.5
2022-02-14,384.5
2022-02-15,243.8
2022-02-16,123.0
2022-02-17,450.7
2022-02-18,687.2
2022-02-19,144.0
2022-02-20,264.5
2022-02-21,855.5
2022-02-22,376.1
2022-02-23,362.0
2022-02-24,541.0
2022-02-25,247.7
2022-02-26,350.0
2022-02-27,73.0
2022-02-28,366.4
2022-03-09,95.7
2022-03-10,301.6
2022-03-11,306.7
2022-03-12,204.0
2022-03-13,6.0
2022-03-14,7.0
2022-03-16,107.9
2022-03-17,69.9
2022-03-18,233.2
2022-03-19,192.0
2022-03-20,154.6
2022-03-21,69.7
2022-03-22,359.5
2022-03-23,415.1
2022-03-24,20.5
2022-04-02,193.5
2022-04-04,123.5
2022-04-06,199.1
2022-04-08,161.7
2022-04-14,82.18
2022-04-26,416.5
2022-04-27,281.38
2022-04-28,384.5
2022-04-29,245.85
2022-04-30,586.2
2022-05-01,195.3
2022-05-02,386.3
2022-05-03,684.4
2022-05-04,483.2
2022-05-05,361.0
2022-05-06,511.4
2022-06-01,293.48
2022-06-02,797.8
2022-06-03,223.8
2022-06-04,287.6
2022-06-05,173.5
2022-06-06,388.8
2022-06-07,576.4
2022-06-08,1336.7
2022-06-09,589.4
2022-06-10,302.7
2022-06-11,361.18
2022-06-12,454.0
2022-06-13,1272.5
2022-06-14,639.0
2022-06-15,386.34
2022-06-16,356.5
2022-06-17,564.7
2022-06-18,632.2
2022-06-19,273.9
2022-06-20,809.34
2022-06-21,424.9
2022-06-22,510.65
2022-06-23,384.2
2022-06-24,623.4
2022-06-25,249.2
2022-06-26,208.0
2022-06-27,466.3
2022-06-28,387.9
2022-06-29,330.9
2022-06-30,370.2
2022-07-01,313.8
