DATE,TOTAL AMOUNT
2024-08-28,1160.3
2024-08-29,1037.1
2024-08-30,891.9
2024-08-31,1025.0
2024-09-01,1516.8
2024-09-02,1682.9
2024-09-03,1521.3
2024-09-04,1898.5
2024-09-05,3013.9
2024-09-06,1080.5
2024-09-07,1345.3
2024-09-08,1319.3
2024-09-09,1566.4
2024-09-10,1215.5
2024-09-11,743.7
2024-09-12,1047.9
2024-09-13,1175.5
2024-09-14,1339.4
2024-09-15,1589.2
2024-09-16,1056.1
2024-09-17,1511.8
2024-09-18,1915.0
2024-09-19,1278.4
2024-09-20,1508.5
2024-09-21,999.4
2024-09-22,822.7
2024-09-23,1077.3
2024-09-24,1221.6
2024-09-25,1006.1
2024-09-26,616.7
2024-09-27,680.5
2024-09-28,1159.5
2024-09-29,959.0
2024-09-30,1323.4
2024-10-01,1546.1
2024-10-02,1178.7
2024-10-03,1249.4
2024-10-04,756.7
2024-10-05,1249.0
2024-10-06,1425.7
2024-10-07,1455.7
2024-10-08,727.4
2024-10-09,1239.2
2024-10-10,1206.3
2024-10-11,1309.4
2024-10-12,1137.8
2024-10-13,878.3
2024-10-14,1948.4
2024-10-15,1341.9
2024-10-16,807.7
2024-10-17,1828.8
2024-10-18,868.4
2024-10-19,1185.8
2024-10-20,984.2
2024-10-21,1046.4
2024-10-22,1072.8
2024-10-23,1000.2
2024-10-24,1140.9
2024-10-25,1418.5
2024-10-26,1139.2
2024-10-27,611.1
2024-10-28,1599.6
2024-10-29,1412.6
2024-10-30,887.6
2024-10-31,1378.9
2024-11-01,1315.8
2024-11-02,1324.9
2024-11-03,1104.9
2024-11-04,1900.0
2024-11-05,1671.3
2024-11-06,1433.2
2024-11-07,2187.3
2024-11-08,2182.9
2024-11-09,1344.4
2024-11-10,1454.9
2024-11-11,1054.7
2024-11-12,1487.2
2024-11-13,1788.8
2024-11-14,1273.3
2024-11-15,1321.2
2024-11-16,1391.6
2024-11-17,735.0
2024-11-18,1527.7
2024-11-19,1236.7
2024-11-20,2415.2
2024-11-21,1441.8
2024-11-22,1064.2
2024-11-23,1569.9
2024-11-24,600.8
2024-11-25,1715.1
2024-11-26,2456.8
2024-11-27,2900.3
2024-11-28,2225.4
2024-11-29,2106.1
2024-11-30,1654.1
2024-12-01,1127.0
2024-12-02,2229.6
2024-12-03,1338.8
2024-12-04,1318.3
2024-12-05,1373.1
2024-12-06,1667.2
2024-12-07,1747.4
2024-12-08,662.2
2024-12-09,2818.2
2024-12-10,1143.3
2024-12-11,840.8
2024-12-12,1346.8
2024-12-13,1363.4
2024-12-14,2229.4
2024-12-15,1140.1
2024-12-16,1553.4
2024-12-17,912.6
2024-12-18,1023.7
2024-12-19,1861.0
2024-12-20,1288.0
2024-12-21,1129.1
2024-12-22,1298.3
2024-12-23,1977.8
2024-12-24,2806.4
2024-12-25,1640.5
2024-12-26,1782.7
2024-12-27,1593.8
2024-12-28,2122.4
2024-12-29,979.2
2024-12-30,1659.3
2024-12-31,1739.8
2025-01-01,1015.0
2025-01-02,1216.7
2025-01-03,1695.2
2025-01-04,1892.3
2025-01-05,1275.4
2025-01-06,1051.4
2025-01-07,2656.0
2025-01-08,1518.1
2025-01-09,2209.1
2025-01-10,1533.6
2025-01-11,1615.4
2025-01-12,1507.2
2025-01-13,1560.5
2025-01-14,1565.6
2025-01-15,1339.7
2025-01-16,1049.2
2025-01-17,718.1
2025-01-18,2095.3
2025-01-19,1733.3
2025-01-20,676.6
2025-01-21,992.0
2025-01-22,1226.3
2025-01-23,1975.6
2025-01-24,1553.0
2025-01-25,1339.3
2025-01-26,918.6
2025-01-27,1520.5
2025-01-28,1860.5
2025-01-29,1082.7
2025-01-30,865.7
2025-01-31,757.5
2025-02-01,1576.3
2025-02-02,1054.0
2025-02-03,2016.6
2025-02-04,1960.9
2025-02-05,2471.9
2025-02-06,1833.8
2025-02-07,1914.5
2025-02-08,2199.7
2025-02-09,995.4
2025-02-10,1126.3
2025-02-11,1446.5
2025-02-12,1946.0
2025-02-13,1298.4
2025-02-14,2202.9
2025-02-15,1009.4
2025-02-16,820.9
2025-02-17,1666.0
2025-02-18,1543.4
2025-02-19,1087.7
2025-02-21,804.4
2025-02-22,1543.7
2025-02-23,1190.5
2025-02-24,1233.4
2025-02-27,1482.0
2025-03-01,1622.7
2025-03-02,353.1
2025-03-03,1865.2
2025-03-04,1160.0
2025-03-05,975.5
2025-03-06,1499.8
2025-03-07,1260.4
2025-03-08,1207.6
2025-03-09,1607.8
2025-03-10,1460.4
2025-03-11,1717.5
2025-03-12,2165.8
2025-03-13,1266.0
2025-03-14,1851.3
2025-03-15,2814.2
2025-03-16,1861.6
